typology,trade_family,trade_group,trade_type,column_name,xpath,datatype,nullable,default,Gold
Spot,CURR,FXD,FXD,trade_date,/MxML/trades/trade/tradeHeader/tradeDate,DateType,FALSE,,TRADETIME
Spot,CURR,FXD,FXD,trade_status,/MxML/trades/trade/tradeStatus/physicalStatus,StringType,TRUE,,STATUS
Spot,CURR,FXD,FXD,instrument_name,/MxML/trades/trade/tradeBody/fxSpotForward/riskSection,StringType,TRUE,,INSTRUMEN CURVSCURR
Spot,CURR,FXD,FXD,trade_family,/MxML/trades/trade/tradeHeader/tradeCategory/tradeFamily,StringType,TRUE,,TYPOLOGY
Spot,CURR,FXD,FXD,trade_group,/MxML/trades/trade/tradeHeader/tradeCategory/tradeGroup,StringType,TRUE,,TYPOLOGY
Spot,CURR,FXD,FXD,typology,/MxML/trades/trade/tradeHeader/tradeCategory/typology,StringType,TRUE,,
Spot,CURR,FXD,FXD,main_typology_path,/MxML/trades/trade/tradeHeader/tradeCategory/mainTypologyPath,StringType,TRUE,,
Spot,CURR,FXD,FXD,usage,/MxML/trades/trade/tradeHeader/tradeCategory/usage,StringType,TRUE,,
Spot,CURR,FXD,FXD,portfolio_label,/MxML/trades/trade/portfolios/portfolio/portfolioLabel,StringType,TRUE,,PORTFOLIO
Spot,CURR,FXD,FXD,party_id,/MxML/trades/trade/parties/party[2]/@id,StringType,TRUE,,
Spot,CURR,FXD,FXD,party_name,/MxML/trades/trade/parties/party[2]/partyName,StringType,TRUE,,CP
Spot,CURR,FXD,FXD,currency1_flow_payerPartyReference,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/payerPartyReference/@href,StringType,TRUE,,BUYSELL
Spot,CURR,FXD,FXD,currency1_flow_receiverPartyReference,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/receiverPartyReference/@href,StringType,TRUE,,BUYSELL
Spot,CURR,FXD,FXD,currency1_flow_currency,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/currency,StringType,TRUE,,LEG0CUR LEG1CUR CURR1
Spot,CURR,FXD,FXD,currency1_flow_amount,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/amount,DecimalType,TRUE,,LEG0NOM LEG1NOM TRADED_AMT FXNOM1
Spot,CURR,FXD,FXD,currency2_flow_payerPartyReference,/MxML/trades/trade/tradeBody/fxSpotForward/currency2Flow/payerPartyReference/@href,StringType,TRUE,,BUYSELL
Spot,CURR,FXD,FXD,currency2_flow_receiverPartyReference,/MxML/trades/trade/tradeBody/fxSpotForward/currency2Flow/receiverPartyReference/@href,StringType,TRUE,,BUYSELL
Spot,CURR,FXD,FXD,currency2_flow_currency,/MxML/trades/trade/tradeBody/fxSpotForward/currency2Flow/currency,StringType,TRUE,,LEG0CUR LEG1CUR CURR1
Spot,CURR,FXD,FXD,currency2_flow_amount,/MxML/trades/trade/tradeBody/fxSpotForward/currency2Flow/amount,DecimalType,TRUE,,LEG0NOM LEG1NOM TRADED_AMT FXNOM1
Spot,CURR,FXD,FXD,exchange_rate,/MxML/trades/trade/tradeBody/fxSpotForward/exchangeRate/rate,DecimalType,TRUE,,
,,,,,,,,,
NDF,CURR,FXD,FXD,trade_global_id,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/tradeId/tradeGlobalId,StringType,FALSE,,GLOBALID
NDF,CURR,FXD,FXD,entity,/MxML/trades/trade/tradeHeader/tradeViews/tradeView[1]/entity,StringType,TRUE,,
NDF,CURR,FXD,FXD,legal_entity,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/legalEntity,StringType,TRUE,,
NDF,CURR,FXD,FXD,contract_id,/MxML/trades/trade/tradeHeader/contractReference/businessObjectId/identifier,StringType,TRUE,,MUREXCONT
NDF,CURR,FXD,FXD,root_contract_id,/MxML/trades/trade/tradeHeader/contractReference/contractId/rootContract,StringType,TRUE,,
NDF,CURR,FXD,FXD,trade_id,/MxML/trades/trade/businessObjectId/identifier,StringType,FALSE,,TRADENUMB
NDF,CURR,FXD,FXD,version_number,/MxML/trades/trade/businessObjectId/versionIdentifier/versionRevision/versionNumber,StringType,TRUE,,
NDF,CURR,FXD,FXD,trade_origin_id,/MxML/trades/trade/tradeHeader/tradeSource/tradeOriginId,StringType,TRUE,,
NDF,CURR,FXD,FXD,trade_date,/MxML/trades/trade/tradeHeader/tradeDate,DateType,FALSE,,TRADETIME
NDF,CURR,FXD,FXD,trade_status,/MxML/trades/trade/tradeStatus/physicalStatus,StringType,TRUE,,STATUS
NDF,CURR,FXD,FXD,instrument_name,/MxML/trades/trade/tradeBody/fxSpotForward/riskSection,StringType,TRUE,,INSTRUMEN CURVSCURR
NDF,CURR,FXD,FXD,trade_family,/MxML/trades/trade/tradeHeader/tradeCategory/tradeFamily,StringType,TRUE,,TYPOLOGY
NDF,CURR,FXD,FXD,trade_group,/MxML/trades/trade/tradeHeader/tradeCategory/tradeGroup,StringType,TRUE,,TYPOLOGY
NDF,CURR,FXD,FXD,typology,/MxML/trades/trade/tradeHeader/tradeCategory/typology,StringType,TRUE,,
NDF,CURR,FXD,FXD,main_typology_path,/MxML/trades/trade/tradeHeader/tradeCategory/mainTypologyPath,StringType,TRUE,,
NDF,CURR,FXD,FXD,usage,/MxML/trades/trade/tradeHeader/tradeCategory/usage,StringType,TRUE,,
NDF,CURR,FXD,FXD,portfolio_label,/MxML/trades/trade/portfolios/portfolio/portfolioLabel,StringType,TRUE,,PORTFOLIO
NDF,CURR,FXD,FXD,party_id,/MxML/trades/trade/parties/party[2]/@id,StringType,TRUE,,
NDF,CURR,FXD,FXD,party_name,/MxML/trades/trade/parties/party[2]/partyName,StringType,TRUE,,CP
NDF,CURR,FXD,FXD,currency1_flow_payerPartyReference,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/payerPartyReference/@href,StringType,TRUE,,BUYSELL
NDF,CURR,FXD,FXD,currency1_flow_receiverPartyReference,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/receiverPartyReference/@href,StringType,TRUE,,BUYSELL
NDF,CURR,FXD,FXD,currency1_flow_currency,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/currency,StringType,TRUE,,LEG0CUR LEG1CUR CURR1
NDF,CURR,FXD,FXD,currency1_flow_amount,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/amount,DecimalType,TRUE,,LEG0NOM LEG1NOM TRADED_AMT FXNOM1
NDF,CURR,FXD,FXD,currency2_flow_payerPartyReference,/MxML/trades/trade/tradeBody/fxSpotForward/currency2Flow/payerPartyReference/@href,StringType,TRUE,,BUYSELL
NDF,CURR,FXD,FXD,currency2_flow_receiverPartyReference,/MxML/trades/trade/tradeBody/fxSpotForward/currency2Flow/receiverPartyReference/@href,StringType,TRUE,,BUYSELL
NDF,CURR,FXD,FXD,currency2_flow_currency,/MxML/trades/trade/tradeBody/fxSpotForward/currency2Flow/currency,StringType,TRUE,,LEG0CUR LEG1CUR CURR1
NDF,CURR,FXD,FXD,currency2_flow_amount,/MxML/trades/trade/tradeBody/fxSpotForward/currency2Flow/amount,DecimalType,TRUE,,LEG0NOM LEG1NOM TRADED_AMT FXNOM1
NDF,CURR,FXD,FXD,exchange_rate,/MxML/trades/trade/tradeBody/fxSpotForward/exchangeRate/rate,DecimalType,TRUE,,
