Bronze,,Silver,,,,,,,,
item_type,xpath,enriched_table,column_name,datatype,nullable,default,Key,Remark,curated_mapping,transforamtion
cmfAsset,/list/cmfAsset/validatedAsset/incomeDetail/couponDetail/couponTerm/@ACCRUAL_DATE_FREQ_UNIT,cdw_asset,coupon_frequency_unit,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/incomeDetail/couponDetail/couponTerm/couponSchedule[1]/@COUPON_RATE,cdw_asset,cpn,DecimalType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@CALLABLE_BY_HOLDER,cdw_asset,callable_by_holder,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@CALLABLE_BY_ISSUER,cdw_asset,callable_by_issuer,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@CONTINGENT_MODE,cdw_asset,is_contingent,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@CONVERTIBLE,cdw_asset,is_convertible,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@CPI_INDEX_RATIO,cdw_asset,cpi_index_ratio,DecimalType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@NEXT_CALL_DATE,cdw_asset,next_call_date,DateType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@PERPETUAL,cdw_asset,perpetual,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@PRIMARY_COLLATERAL,cdw_asset,primary_collateral,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@RANKING_SENIORITY,cdw_asset,ranking_seniority,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@QUOTE_TYPE,cdw_asset,quote_type,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/principalEvent [@PRINCIPAL_EVENT_TYPE='Conversion']/principalEventTerm/eventSchedule/@AMOUNT,cdw_asset,bq_face_amt,DecimalType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/principalEvent[@PRINCIPAL_EVENT_TYPE='Conversion']/principalEventTerm/@FIXED_RATE,cdw_asset,conversion_price,DecimalType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/principalEvent[@PRINCIPAL_EVENT_TYPE='Conversion']/principalEventTerm/principalRelation[@RELATIONSHIP_DESCRIPTION='Converts to']/@RELATIONSHIP_AMT,cdw_asset,conversion_ratio,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/principalEvent[@PRINCIPAL_EVENT_TYPE='Conversion']/principalEventTerm/principalRelation[@RELATIONSHIP_DESCRIPTION='Converts to']/identifiers/identifier[@TYPE='MHILIST'][last()],cdw_asset,converts_to,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/contractDetails/ctdBond/identifier[@TYPE='ISIN'],cdw_asset,ctd_bond,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/contractDetails/ctdBonds/identifier[@TYPE='ISIN'],cdw_asset,ctd_pool_asset,StringType,TRUE,,,,,
