trade_family,trade_group,trade_type,column_name,xpath,datatype,nullable,default,enriched_table,curated_mapping
CURR,FXD,FXD,trade_group,/MxML/trades/trade/tradeHeader/tradeCategory/tradeGroup,StringType,TRUE,,murex_trade_curr_fxd_fxd,
CURR,FXD,FXD,trade_type,/MxML/trades/trade/tradeHeader/tradeCategory/tradeType,StringType,TRUE,,murex_trade_curr_fxd_fxd,
CURR,FXD,FXD,typology,/MxML/trades/trade/tradeHeader/tradeCategory/typology,StringType,TRUE,,murex_trade_curr_fxd_fxd,TYPOLOGY
CURR,FXD,FXD,main_typology_path,/MxML/trades/trade/tradeHeader/tradeCategory/mainTypologyPath,StringType,TRUE,,murex_trade_curr_fxd_fxd,
CURR,FXD,FXD,usage,/MxML/trades/trade/tradeHeader/tradeCategory/usage,StringType,TRUE,,murex_trade_curr_fxd_fxd,
CURR,FXD,FXD,portfolio_label,/MxML/trades/trade/portfolios/portfolio/portfolioLabel,StringType,TRUE,,murex_trade_curr_fxd_fxd,PORTFOLIO
CURR,FXD,FXD,party_id,/MxML/trades/trade/parties/party[2]/@id,StringType,TRUE,,murex_trade_curr_fxd_fxd,
CURR,FXD,FXD,party_name,/MxML/trades/trade/parties/party[2]/partyName,StringType,TRUE,,murex_trade_curr_fxd_fxd,CP
CURR,FXD,FXD,currency1_flow_payerPartyReference,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/payerPartyReference/@href,StringType,TRUE,,murex_trade_curr_fxd_fxd,BUYSELL
CURR,FXD,FXD,currency1_flow_receiverPartyReference,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/receiverPartyReference/@href,StringType,TRUE,,murex_trade_curr_fxd_fxd,BUYSELL
CURR,FXD,FXD,currency1_flow_currency,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/currency,StringType,TRUE,,murex_trade_curr_fxd_fxd,LEG0CUR LEG1CUR CURR1
CURR,FXD,FXD,currency1_flow_amount,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/amount,DecimalType,TRUE,,murex_trade_curr_fxd_fxd,LEG0NOM LEG1NOM TRADED_AMT FXNOM1
CURR,FXD,FXD,currency2_flow_payerPartyReference,/MxML/trades/trade/tradeBody/fxSpotForward/currency2Flow/payerPartyReference/@href,StringType,TRUE,,murex_trade_curr_fxd_fxd,BUYSELL
CURR,FXD,FXD,currency2_flow_receiverPartyReference,/MxML/trades/trade/tradeBody/fxSpotForward/currency2Flow/receiverPartyReference/@href,StringType,TRUE,,murex_trade_curr_fxd_fxd,BUYSELL
CURR,FXD,FXD,currency2_flow_currency,/MxML/trades/trade/tradeBody/fxSpotForward/currency2Flow/currency,StringType,TRUE,,murex_trade_curr_fxd_fxd,LEG0CUR LEG1CUR CURR1
CURR,FXD,FXD,currency2_flow_amount,/MxML/trades/trade/tradeBody/fxSpotForward/currency2Flow/amount,DecimalType,TRUE,,murex_trade_curr_fxd_fxd,LEG0NOM LEG1NOM TRADED_AMT FXNOM1
CURR,FXD,FXD,exchange_rate,/MxML/trades/trade/tradeBody/fxSpotForward/exchangeRate/rate,DecimalType,TRUE,,murex_trade_curr_fxd_fxd,
