Bronze,,,,Silver,,,,,Gold,,,,
trade_family,trade_group,trade_type,xpath,enriched_table,column_name,datatype,nullable,default,curated_table,curated_field_mapping,transforamtion,ESB,
CURR,FXD,SWLEG,"/MxML/trades/trade/parties/party[partyName != ""Mizuho Int PLC""]/@id",murex_trade_curr_fxd_swleg,counter_party_id,StringType,TRUE,,,,,,
CURR,FXD,SWLEG,"/MxML/trades/trade/parties/party[partyName != ""Mizuho Int PLC""]/partyName",murex_trade_curr_fxd_swleg,counter_party_name,StringType,TRUE,,,CP,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeBody/forexSwapLeg/currency1Flow/payerPartyReference/@href,murex_trade_curr_fxd_swleg,currency1_flow_payer_party_reference,StringType,TRUE,,,BUYSELL,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeBody/forexSwapLeg/currency1Flow/receiverPartyReference/@href,murex_trade_curr_fxd_swleg,currency1_flow_receiver_party_reference,StringType,TRUE,,,BUYSELL,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeBody/forexSwapLeg/currency1Flow/currency,murex_trade_curr_fxd_swleg,currency1_flow_currency,StringType,TRUE,,,LEG0CUR LEG1CUR CURR1,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeBody/forexSwapLeg/currency1Flow/amount,murex_trade_curr_fxd_swleg,currency1_flow_amount,DecimalType,TRUE,,,LEG0NOM LEG1NOM TRADED_AMT FXNOM1,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeBody/forexSwapLeg/currency2Flow/payerPartyReference/@href,murex_trade_curr_fxd_swleg,currency2_flow_payer_party_reference,StringType,TRUE,,,BUYSELL,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeBody/forexSwapLeg/currency2Flow/receiverPartyReference/@href,murex_trade_curr_fxd_swleg,currency2_flow_receiver_party_reference,StringType,TRUE,,,BUYSELL,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeBody/forexSwapLeg/currency2Flow/currency,murex_trade_curr_fxd_swleg,currency2_flow_currency,StringType,TRUE,,,LEG0CUR LEG1CUR CURR1,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeBody/forexSwapLeg/currency2Flow/amount,murex_trade_curr_fxd_swleg,currency2_flow_amount,DecimalType,TRUE,,,LEG0NOM LEG1NOM TRADED_AMT FXNOM1,,,
